Russian,English,French
и,and,et
не,not,ne pas
на,on the,sur le
я,I,je
что,what,quelle
тот,the,les
быть,be,être
весь,all,tout
это,this is,c'est
она,she is,elle est
по,by,par
но,but,mais
они,they are,elles sont
к,to,à
из,of,de
мы,we,nous
за,per,par
так,So,Donc
же,the same,le même
от,from,de
который,which the,lequel à
мочь,be able to,être capable de
человек,human,Humain
о,about,à propos de
бы,would,aurait
такой,such,tel
только,only,seul
себя,himself,lui-même
свое,his,le sien
какой,which,lequel
когда,when,lorsque
уже,already,déjà
для,for,pour
вот,here,ici
да,Yes,Oui
год,year,an
мой,my,ma
если,if a,si un
время,time,temps
рука,hand,main
нет,not,ne pas
самый,most,les plus
ни,or,ou alors
стать,become,devenir
даже,even,même
другой,other,autre
наш,our,notre
ну,Well,bien
под,under,en dessous de
где,Where,Où
есть,there is,il y a
раз,time,temps
чтобы,that,cette
два,two,deux
там,there,là
чем,than,que
жизнь,a life,une vie
первый,first,premier
тут,here,ici
ничто,nothing,rien
очень,highly,très
ли,whether,qu'il s'agisse
при,at,à
голова,head,diriger
без,without,sans pour autant
видеть,see,voir
теперь,Now,À présent
стоять,to stand,de se tenir
друг,friend,ami
сейчас,now,à présent
можно,can,pouvez
слово,word,mot
здесь,here,ici
место,a place,un endroit
спросить,ask,demandez
тогда,then,ensuite
ведь,after all,après tout
хороший,good,bien
каждый,everyone,toutes les personnes
новый,new,Nouveau
жить,live,habitent
должный,proper,dû
смотреть,look,voir
почему,why,Pourquoi
сторона,side,côté
просто,simply,simplement
сидеть,sit,asseoir
понять,understand,comprendre
иметь,have,avoir
конечный,finite,fini
вдруг,suddenly,tout à coup
взять,take,prendre
дверь,a door,une porte
перед,before,avant que
нужный,needed,nécessaire
понимать,understand,comprendre
казаться,seem,sembler
работа,Work,Travail
ваш,your,votre
уж,really,vraiment
земля,land,terre
город,city,ville
последний,last,dernier
пока,until,jusqu'à ce que
хорошо,OK,d'accord
вода,water,l'eau
всегда,always,toujours
второй,second,deuxième
пойти,go,va
стол,table,tableau
ребенок,child,enfant
сила,force,Obliger
женщина,female,femelle
машина,a car,une voiture
случай,happening,événement
ночь,night,nuit
мир,peace,paix
сразу,at once,immediatement
совсем,all,tout
вид,view,vue
выйти,go out,sortir
дать,to give,pour donner
работать,work,travail
любить,be in love,être amoureux
старый,old,vieille
ряд,row,ligne
оказаться,prove,prouver
начало,Start,Démarrer
вопрос,question,question
много,lot,parcelle
война,war,guerre
ответить,reply,réponse
подумать,think,pense
опять,again,de nouveau
белый,white,blanc
деньги,money,de l'argent
минута,minute,minute
посмотреть,look,voir
главный,main,principale
ждать,wait,attendre
никогда,never,jamais
товарищ,friend,ami
дорога,road,route
лежать,lie,mensonge
окно,window,la fenêtre
найти,to find,trouver
писать,write,écrivez
комната,room,chambre
Москва,Moscow,Moscou
часть,part,partie
книга,book,livre
маленький,small,petit
далёкий,far,loin
душа,soul,âme
далеко,long away,loin
вернуться,return,revenir
чуть,slightly,légèrement
сколько,how much,combien
вечер,evening,soirée
пол,floor,étage
получить,receive,recevoir
народ,people,gens
плечо,shoulder,épaule
вместе,together,ensemble
ходить,walk,marche
взгляд,sight,vue
зачем,what for,pourquoi
советский,Soviet,soviétique
бывать,visit,visite
русский,Russian,russe
прийти,to come,venir
полный,full,plein
палец,finger,doigt
наконец,finally,finalement
узнать,discover,découvrir
мысль,think,pense
назад,ago,depuis
заметить,observe,observer
уйти,escape,s'échapper
прошлый,last,dernier
известный,known,connu
слышать,hear,écouter
прямо,straight,droit
долго,long,longue
быстро,fast,vite
быстрый,fast,vite
лес,forest,forêt
похожий,similar,similaire
глядеть,look,voir
читать,to read,lire
имя,name,Nom
разговор,conversation,conversation
тело,body,corps
красный,red,rouge
стена,wall,mur
хотеться,want,vouloir
ранний,early,tôt
право,right,droite
старик,old man,vieil homme
оставаться,stay,rester
высокий,tall,grand
мама,mum,maman
высоко,high,haute
поэтому,so,donc
путь,way,chemin
совершенно,completely,complètement
тысяча,one thousand,mille
брать,take,prendre
написать,write,écrivez
месяц,month,mois
целый,all,tout
огромный,huge,énorme
начинать,start off,commencer
настоящий,present,cadeau
точно,exactly,exactement
спина,back,dos
чувствовать,feel,Ressentir
успеть,in time,à l'heure
живой,alive,vivant
сердце,a heart,un cœur
продолжать,continue,Continuez
забыть,to forget,oublier
мальчик,boy,garçon
пройти,pass the,passe le
черный,the black,le noir
смерть,death,décès
девушка,girl,fille
выходить,go out,sortir
просить,ask,demandez
разный,different,différent
власть,power,Puissance
собственный,own,propre
четыре,four,quatre
воздух,air,air
откуда,from whence,D'où
называть,call,appel
третий,the third,le troisième
отношение,attitude,attitude
показать,show,spectacle
вспомнить,recall,rappeler
система,system,système
квартира,flat,plat
любовь,love,l'amour
солдат,soldier,soldat
хозяин,master,Maître
бросить,throw,lancer
послать,send,envoyer
находиться,be,être
равно,equally,également
поставить,put,mettre
встать,up,en haut
школа,school,école
